"","loan_amount","income","status"
"648",336500,11040,0
"649",136500,9780,0
"650",216500,4320,0
"651",146500,1740,0
"652",76500,3780,0
"653",436500,6540,0
"654",426500,6900,0
"655",356500,7380,0
"656",466500,6660,0
"657",116500,3600,0
"658",246500,5520,0
"659",486500,4740,0
"660",236500,4140,0
"661",636500,11460,1
"662",46500,1680,0
"663",146500,10500,0
"664",1196500,25680,1
"665",156500,3300,0
"666",486500,10440,1
"667",276500,7740,0
"668",136500,9420,0
"669",456500,16020,0
"670",236500,4500,0
"671",196500,4980,0
"672",396500,4500,0
"673",416500,9480,0
"674",116500,8160,0
"675",226500,7440,0
"676",176500,2640,0
"677",266500,5580,0
"678",296500,5220,0
"679",176500,4860,0
"680",216500,9360,0
"681",356500,4140,0
"682",226500,13260,0
"683",306500,8940,0
"684",456500,14460,0
"685",136500,8280,0
"686",396500,18900,0
"687",306500,3960,0
"688",156500,2340,0
"689",606500,27000,1
"690",76500,2280,0
"691",336500,6120,0
"692",386500,12060,0
"693",206500,7560,0
"694",336500,3240,0
"695",126500,2460,0
"696",486500,9180,0
"697",406500,6720,0
"698",206500,5160,0
"699",116500,1260,0
"700",206500,2280,0
"701",106500,4440,0
"702",356500,3180,0
"703",446500,9540,0
"704",276500,4380,0
"705",306500,4080,0
"706",76500,2280,0
"707",206500,5640,0
"708",336500,9900,0
"709",136500,2100,0
"710",76500,4560,0
"711",416500,8400,0
"712",346500,3720,0
"713",126500,1800,0
"714",126500,1680,0
"715",176500,3840,0
"716",206500,3000,0
"717",186500,3840,0
"718",296500,7080,0
"719",156500,2760,0
"720",376500,5280,0
"721",526500,6360,0
"722",306500,4440,0
"723",276500,13380,0
"724",686500,7080,1
"725",496500,7020,0
"726",476500,6060,0
"727",566500,12240,0
"728",286500,8580,0
"729",226500,5520,0
"730",356500,12660,0
"731",466500,4740,0
"732",466500,5400,0
"733",186500,5220,0
"734",256500,12300,0
"735",216500,2940,0
"736",296500,30720,0
"737",86500,2520,0
"738",446500,10920,0
"739",136500,6180,0
"740",146500,2880,0
"741",396500,5700,0
"742",236500,4380,0
"743",166500,4860,0
"744",616500,11160,0
"745",366500,5700,0
"746",66500,2220,0
"747",236500,5880,0
"748",586500,6180,0
"749",306500,3480,1
"750",486500,6720,1
"751",296500,3840,0
"752",356500,3780,0
"753",396500,4380,0
"754",606500,8700,1
"755",366500,6240,0
"756",396500,9240,0
"757",206500,4680,0
"758",196500,5280,0
"759",146500,3900,0
"760",456500,4860,0
"761",536500,6720,0
"762",176500,4860,0
"763",76500,7860,0
"764",126500,8460,0
"765",366500,9180,0
"766",496500,8400,1
"767",336500,3300,0
"768",206500,2640,0
"769",616500,10320,1
"770",326500,0,0
"771",576500,6660,1
"772",566500,8820,1
"773",256500,19920,0
"774",336500,5400,0
"775",216500,6120,0
"776",126500,4680,0
"777",436500,10680,0
"778",556500,5940,1
"779",236500,12960,0
"780",226500,4560,0
"781",336500,9060,0
"782",176500,3600,0
"783",196500,3600,0
"784",556500,5940,0
"785",306500,6000,0
"786",356500,5640,0
"787",196500,4740,0
"788",296500,4740,0
"789",396500,5280,1
"790",326500,9840,0
"791",536500,9540,0
"792",246500,5460,0
"793",216500,3420,0
"794",586500,7800,0
"795",276500,3060,0
"796",496500,6060,0
"797",246500,6300,0
"798",306500,7980,0
"799",206500,4860,0
"800",276500,8160,0
"801",316500,8340,0
"802",216500,4500,0
"803",256500,7920,0
"804",186500,4560,0
"805",456500,7500,1
"806",296500,6420,0
"807",496500,6120,0
"808",246500,4200,0
"809",286500,4740,0
"810",606500,3540,1
"811",146500,1560,0
"812",206500,4320,0
"813",146500,3180,0
"814",316500,4140,0
"815",336500,7920,0
"816",346500,4920,0
"817",296500,11040,0
"818",286500,12240,0
"819",86500,2940,0
"820",206500,5520,0
"821",226500,4680,0
"822",306500,3660,0
"823",376500,12780,0
"824",516500,8400,0
"825",126500,2400,0
"826",266500,4320,0
"827",266500,9180,0
"828",246500,2340,0
"829",386500,14760,0
"830",146500,4680,0
"831",106500,1440,0
"832",356500,4260,0
"833",356500,8160,0
"834",386500,4680,0
"835",496500,9780,0
"836",206500,9780,0
"837",176500,2820,0
"838",156500,4260,0
"839",456500,8760,0
"840",576500,14160,1
"841",416500,4380,0
"842",366500,5940,0
"843",126500,1860,0
"844",416500,8580,1
"845",286500,0,0
"846",146500,3300,0
"847",116500,2340,0
"848",116500,2820,0
"849",396500,8880,0
"850",276500,2940,0
"851",136500,2940,0
"852",446500,5040,0
"853",146500,4140,0
"854",316500,4620,0
"855",316500,10920,0
"856",326500,4260,0
"857",476500,10020,0
"858",486500,6720,1
"859",186500,7380,0
"860",576500,16560,0
"861",156500,4860,0
"862",186500,3000,0
"863",76500,1260,0
"864",226500,2160,0
"865",356500,660,0
"866",336500,5760,0
"867",346500,9900,0
"868",406500,6000,0
"869",376500,3600,0
"870",526500,8400,0
"871",636500,6120,1
"872",46500,4200,0
"873",246500,2580,0
"874",66500,3000,0
"875",166500,6960,0
"876",226500,1860,0
"877",416500,5700,0
"878",216500,3780,0
"879",446500,6480,0
"880",236500,4320,0
"881",136500,0,0
"882",376500,4680,0
"883",576500,25080,0
"884",656500,14700,1
"885",236500,6180,0
"886",126500,7440,0
"887",226500,5220,0
"888",656500,1920,1
"889",136500,6660,0
"890",596500,7980,1
"891",236500,8400,0
"892",106500,1860,0
"893",346500,5460,0
"894",466500,10260,0
"895",286500,12660,0
"896",406500,7680,0
"897",126500,11820,0
"898",186500,5520,0
"899",416500,7140,0
"900",646500,11640,0
"901",416500,7980,0
"902",326500,8340,0
"903",266500,3120,0
"904",316500,5700,0
"905",86500,2040,0
"906",216500,5400,0
"907",256500,3840,0
"908",226500,2280,0
"909",286500,4320,0
"910",136500,5400,0
"911",186500,2040,0
"912",106500,2340,0
"913",96500,2760,0
"914",496500,6840,0
"915",486500,8940,0
"916",536500,7560,0
"917",306500,5400,0
"918",236500,3960,0
"919",206500,1920,0
"920",466500,10020,0
"921",226500,4260,0
"922",76500,3480,0
"923",276500,5520,0
"924",286500,8460,0
"925",536500,9960,0
"926",186500,6480,0
"927",176500,4560,0
"928",406500,4260,0
"929",616500,13560,1
"930",546500,18900,1
"931",376500,5640,0
"932",596500,33240,1
"933",456500,7980,1
"934",306500,10080,0
"935",326500,4380,0
"936",226500,3240,0
"937",96500,1200,0
"938",356500,8160,0
"939",406500,18060,0
"940",266500,3780,0
"941",466500,7920,0
"942",206500,9780,0
"943",106500,1800,0
"944",586500,6840,1
"945",246500,7620,0
"946",436500,4860,0
"947",276500,4980,0
"948",486500,6060,0
"949",206500,2460,0
"950",576500,7380,0
"951",126500,4320,0
"952",136500,1320,0
"953",106500,11400,0
"954",186500,3240,0
"955",376500,4080,0
"956",506500,11820,0
"957",316500,12660,0
"958",166500,5520,0
"959",436500,5520,1
"960",256500,2520,0
"961",436500,20880,0
"962",196500,4680,0
"963",526500,8340,1
"964",126500,2760,0
"965",226500,3240,0
"966",176500,2880,0
"967",386500,12540,0
"968",316500,4500,0
"969",536500,26400,0
"970",606500,10380,0
"971",756500,12180,1
"972",266500,2340,0
"973",726500,12120,1
"974",306500,4920,0
"975",276500,5460,0
"976",186500,6960,0
"977",416500,6420,0
"978",456500,6120,0
"979",406500,7620,0
"980",486500,8700,0
"981",256500,5700,0
"982",396500,18480,0
"983",206500,5400,0
"984",356500,5400,0
"985",246500,6840,0
"986",326500,7560,0
"987",546500,7560,1
"988",366500,5460,0
"989",236500,0,0
"990",226500,3480,0
"991",796500,10800,1
"992",276500,3360,0
"993",506500,6240,0
"994",516500,7500,1
"995",556500,8700,1
"996",386500,17700,0
"997",266500,5880,0
"998",246500,24300,0
"999",486500,9840,0
"1000",486500,6660,0
"1001",536500,6840,0
"1002",556500,7380,0
"1003",426500,6780,0
"1004",136500,7140,0
"1005",266500,9720,0
"1006",186500,3000,0
"1007",666500,12540,1
"1008",496500,5520,0
"1009",246500,2940,0
"1010",286500,8100,0
"1011",356500,5280,0
"1012",706500,21960,1
"1013",286500,5160,0
"1014",376500,5340,1
"1015",246500,2940,0
"1016",236500,5100,0
"1017",106500,11940,0
"1018",256500,7980,0
"1019",386500,5760,0
"1020",386500,6420,0
"1021",486500,6780,1
"1022",306500,2760,0
"1023",286500,7020,0
"1024",276500,4440,0
"1025",196500,8160,0
"1026",396500,6600,0
"1027",226500,6360,0
"1028",136500,3180,0
"1029",726500,14220,1
"1030",386500,6180,0
"1031",476500,11940,0
"1032",156500,8820,0
"1033",446500,8160,0
"1034",356500,4680,0
"1035",456500,16620,0
"1036",76500,3360,0
"1037",366500,8700,0
"1038",526500,6360,0
"1039",216500,3840,0
"1040",386500,4800,0
"1041",696500,22200,1
"1042",136500,2760,0
"1043",656500,14100,1
"1044",206500,17760,0
"1045",426500,4980,0
"1046",256500,3840,0
"1047",406500,3900,0
"1048",136500,3720,0
"1049",476500,10320,1
"1050",326500,12480,0
"1051",236500,4080,0
"1052",186500,6780,0
"1053",536500,17520,1
"1054",486500,7140,0
"1055",296500,6240,0
"1056",196500,1620,0
"1057",126500,6900,0
"1058",216500,3060,0
"1059",616500,6060,1
"1060",86500,1620,0
"1061",306500,3480,0
"1062",246500,7200,0
"1063",556500,9000,0
"1064",106500,3360,0
"1065",206500,8940,0
"1066",356500,13740,0
"1067",536500,9000,1
"1068",266500,4980,0
"1069",566500,14040,0
"1070",196500,4980,0
"1071",76500,1080,0
"1072",166500,5160,0
"1073",166500,3480,0
"1074",306500,17520,0
"1075",156500,2580,0
"1076",156500,6060,0
"1077",856500,20760,1
"1078",476500,6960,0
"1079",296500,4080,0
"1080",356500,5160,0
"1081",186500,7380,0
"1082",316500,9780,0
"1083",246500,9060,0
"1084",166500,6120,0
"1085",326500,5880,0
"1086",76500,1080,0
"1087",266500,3060,0
"1088",456500,9120,0
"1089",686500,6840,1
"1090",216500,10080,0
"1091",286500,7320,0
"1092",226500,7320,0
"1093",666500,8340,1
"1094",396500,4920,0
"1095",316500,5760,0
"1096",56500,840,0
"1097",266500,3360,0
"1098",566500,9420,0
"1099",576500,9000,1
"1100",366500,6180,0
"1101",346500,7260,0
"1102",316500,4020,0
"1103",336500,6720,0
"1104",96500,2700,0
"1105",216500,6000,0
"1106",186500,2820,0
"1107",386500,13920,0
"1108",126500,2640,0
"1109",606500,11640,1
"1110",606500,9000,1
"1111",166500,3180,0
"1112",166500,5280,0
"1113",176500,2460,0
"1114",226500,2520,0
"1115",196500,8220,0
"1116",246500,0,0
"1117",186500,2100,0
"1118",266500,5880,0
"1119",246500,7800,0
"1120",186500,2100,0
"1121",336500,5700,0
"1122",216500,4860,0
"1123",116500,7200,0
"1124",336500,6360,0
"1125",616500,13500,1
"1126",726500,10620,1
"1127",176500,2220,0
"1128",206500,4980,0
"1129",206500,6360,0
"1130",216500,4380,0
"1131",216500,3780,0
"1132",766500,12780,1
"1133",596500,8700,1
"1134",206500,11520,0
"1135",486500,4800,0
"1136",306500,2640,0
"1137",486500,7800,0
"1138",376500,5160,0
"1139",346500,4320,0
"1140",316500,6780,0
"1141",556500,9420,1
"1142",426500,7440,0
"1143",126500,6840,0
"1144",266500,6060,0
"1145",376500,8460,0
"1146",386500,3840,0
"1147",136500,4320,0
"1148",566500,5580,0
"1149",376500,8640,0
"1150",316500,9840,0
"1151",126500,4500,0
"1152",486500,6480,0
"1153",166500,3600,0
"1154",486500,12900,0
"1155",276500,5520,0
"1156",336500,3420,0
"1157",936500,14760,1
"1158",206500,4200,0
"1159",416500,10800,0
"1160",406500,10140,0
"1161",466500,4560,0
"1162",186500,2400,0
"1163",166500,3960,0
"1164",356500,4140,0
"1165",996500,19380,1
"1166",546500,7320,0
"1167",176500,2400,0
"1168",406500,9780,0
"1169",556500,6660,0
"1170",486500,19800,0
"1171",176500,2040,0
"1172",226500,5100,0
"1173",426500,11220,0
"1174",186500,2580,0
"1175",126500,3300,0
"1176",256500,9000,0
"1177",316500,4260,0
"1178",286500,3660,0
"1179",406500,7260,0
"1180",296500,6720,0
"1181",536500,6900,1
"1182",136500,3360,0
"1183",156500,3360,0
"1184",96500,2100,0
"1185",476500,10980,0
"1186",316500,9840,0
"1187",306500,5280,0
"1188",576500,9000,1
"1189",266500,3600,0
"1190",336500,7620,0
"1191",236500,3360,0
"1192",196500,5220,0
"1193",726500,11220,1
"1194",126500,1980,0
"1195",396500,4920,0
"1196",156500,1320,0
"1197",476500,13380,0
"1198",426500,5760,0
"1199",216500,3180,0
"1200",476500,6120,0
"1201",196500,4020,0
"1202",356500,9780,0
"1203",316500,6300,0
"1204",156500,2940,0
"1205",186500,4860,0
"1206",156500,2460,0
"1207",726500,10260,1
"1208",116500,6060,0
"1209",206500,5580,0
"1210",136500,5580,0
"1211",1456500,16740,1
"1212",696500,9180,1
"1213",256500,3420,0
"1214",306500,3420,0
"1215",306500,4680,0
"1216",216500,3120,0
"1217",206500,8520,0
"1218",216500,3780,0
"1219",76500,4200,0
"1220",206500,4140,0
"1221",196500,4320,0
"1222",206500,6180,0
"1223",386500,13560,0
"1224",156500,3540,0
"1225",216500,2700,0
"1226",186500,6120,0
"1227",496500,7740,0
"1228",206500,3660,0
"1229",366500,8280,0
"1230",226500,6660,0
"1231",666500,8940,1
"1232",126500,3000,0
"1233",536500,5760,1
"1234",146500,5640,0
"1235",286500,19320,0
"1236",276500,3960,0
"1237",126500,2400,0
"1238",486500,4920,0
"1239",356500,5160,0
"1240",186500,3240,0
"1241",246500,4260,0
"1242",486500,4320,0
"1243",126500,14220,0
"1244",356500,8700,0
"1245",356500,4440,0
"1246",636500,6720,1
"1247",256500,6540,0
"1248",726500,3360,1
