loan_amount,income,status
136500,3420,0
686500,10080,1
766500,12540,1
306500,9720,0
1136500,22920,1
286500,14160,0
476500,6480,0
696500,7200,1
256500,3960,0
516500,6900,1
206500,7620,0
376500,6480,0
776500,11400,1
376500,4620,0
566500,0,1
246500,3780,0
196500,2100,0
306500,5160,0
216500,10080,0
236500,2520,0
306500,6780,0
346500,4560,0
266500,3660,0
196500,3420,0
436500,6720,0
136500,14820,0
276500,7800,0
166500,2160,0
206500,7440,0
606500,9000,1
196500,1260,0
286500,7920,0
236500,3540,0
286500,2520,0
316500,11280,0
526500,6240,0
516500,8400,0
526500,9000,0
576500,16200,1
276500,2940,0
156500,1620,0
226500,3540,0
566500,8220,1
266500,2880,0
706500,9000,1
156500,1680,0
266500,4800,0
296500,11700,0
546500,18000,0
316500,5160,0
186500,2520,0
246500,8880,0
126500,5520,0
396500,11220,0
656500,20100,0
176500,5340,0
396500,13080,0
276500,3660,0
196500,6360,0
186500,1980,0
136500,2760,0
696500,13680,1
166500,3300,0
586500,15480,1
476500,5460,0
386500,6240,0
346500,7140,0
156500,3660,0
696500,12180,1
366500,12900,0
496500,7680,0
486500,8520,0
516500,4800,1
396500,6780,0
156500,2760,0
266500,3600,0
286500,9060,0
246500,3300,0
426500,5340,0
386500,6480,0
556500,8880,0
626500,11160,1
366500,5220,0
346500,4320,0
76500,2520,0
316500,10080,0
596500,5880,1
356500,7680,0
226500,4020,0
276500,4320,0
446500,8580,0
266500,2280,0
406500,6420,0
436500,4800,0
156500,2880,0
226500,5460,0
76500,4620,0
376500,7260,0
726500,12480,1
136500,2040,0
76500,2400,0
286500,5700,0
386500,6660,0
636500,7080,0
306500,7980,0
496500,4980,0
376500,12840,0
156500,3660,0
436500,7200,0
216500,13920,0
286500,3840,0
316500,4980,0
486500,3840,0
296500,4140,0
246500,4800,0
296500,5220,0
176500,4500,0
316500,7500,0
356500,9240,0
356500,5580,0
76500,2700,0
166500,3360,0
186500,5100,0
336500,4380,0
426500,5100,0
436500,23520,0
306500,0,0
186500,4140,0
156500,3600,0
456500,5040,0
326500,9900,0
506500,6060,0
286500,13380,0
246500,4860,0
416500,12780,0
306500,3900,0
236500,5400,0
136500,15900,0
416500,6540,0
1246500,23760,1
486500,11040,0
406500,12900,0
166500,1920,0
386500,6540,0
286500,2520,0
396500,13080,0
426500,7200,0
416500,11940,0
86500,900,0
276500,10320,0
466500,4500,0
536500,12180,1
416500,12300,0
226500,6720,0
86500,5580,0
196500,4920,0
406500,8520,1
276500,3420,0
326500,8940,0
706500,6780,1
586500,7320,0
466500,7380,0
426500,6000,0
556500,7500,1
466500,16260,1
166500,3720,0
226500,8520,0
206500,3060,0
336500,7500,0
266500,6240,0
566500,7500,1
246500,4920,0
456500,11760,0
416500,16620,0
216500,5340,0
286500,5460,0
106500,5100,0
326500,6060,0
396500,5400,0
536500,9180,1
216500,3300,0
466500,6600,0
126500,2160,0
266500,7680,0
806500,11880,1
436500,5040,1
376500,6660,0
366500,5400,0
716500,13080,1
76500,2580,0
326500,4860,0
216500,13200,0
256500,5940,0
616500,10980,1
246500,5640,0
606500,17700,0
206500,2160,0
286500,4020,0
136500,2940,0
346500,11040,0
236500,4560,0
296500,180,0
266500,4440,0
416500,5640,0
96500,2100,0
336500,6300,0
436500,10380,0
736500,12600,1
486500,5040,0
356500,7740,0
96500,1020,0
416500,5820,0
156500,2460,0
696500,8160,1
196500,12480,0
156500,3060,0
396500,20400,0
326500,4980,0
226500,2880,0
266500,6300,0
76500,1680,0
236500,9480,0
376500,7500,0
276500,4920,0
246500,4860,0
346500,3960,0
346500,5040,0
286500,4320,0
196500,4620,0
356500,11280,0
416500,6240,0
436500,4800,0
506500,7980,0
286500,4740,0
126500,1560,0
366500,0,0
656500,9240,1
486500,6540,0
286500,4080,0
196500,1860,0
226500,3060,0
466500,8400,1
186500,2160,0
216500,5400,0
456500,10680,0
696500,8400,1
166500,6000,0
176500,5220,0
416500,13860,0
216500,5700,0
476500,15300,1
526500,9960,0
156500,3120,0
396500,4680,0
226500,5880,0
476500,4860,0
306500,4980,0
186500,2400,0
216500,8520,0
166500,5220,0
446500,6480,0
106500,4380,0
346500,3120,0
476500,8700,0
316500,5880,0
326500,8400,0
296500,9960,0
256500,9540,0
526500,8340,0
96500,2340,0
486500,19920,0
656500,12420,0
606500,9540,1
276500,6000,0
116500,1620,0
146500,2880,0
106500,2460,0
1086500,14220,1
556500,7500,1
446500,8940,0
536500,7980,1
356500,2700,0
116500,3180,0
416500,6480,0
456500,9960,0
336500,4200,0
186500,3060,0
406500,8160,0
196500,3180,0
246500,5400,0
246500,6840,0
336500,7140,0
66500,1920,0
606500,7680,0
506500,10800,1
466500,10980,1
226500,3780,0
366500,11280,0
286500,3480,0
246500,4680,0
76500,2220,0
266500,3180,0
136500,6240,0
136500,5640,0
596500,12600,1
696500,11160,0
246500,8460,0
496500,7260,0
576500,7740,0
316500,4320,0
256500,3960,0
366500,7920,0
666500,7920,1
366500,5280,0
306500,3240,0
726500,14700,1
156500,2400,0
416500,10980,0
326500,4620,0
486500,4920,0
186500,4980,0
246500,5880,0
436500,8280,0
496500,8520,0
426500,11340,0
626500,21300,1
236500,2820,0
96500,2280,0
126500,2580,0
726500,8460,1
346500,5640,0
216500,4020,0
406500,5340,0
246500,9240,0
456500,9360,0
326500,6240,0
126500,1380,0
246500,6360,0
446500,8520,0
346500,8400,0
256500,3180,0
296500,5400,0
336500,4440,0
266500,6600,0
486500,37140,0
206500,3300,0
246500,7260,0
246500,3660,0
216500,5340,0
316500,3720,0
236500,4980,0
176500,4740,0
196500,3960,0
256500,6300,0
486500,10920,1
316500,5100,0
136500,2940,0
116500,2640,0
126500,3660,0
406500,4860,0
626500,13740,1
76500,1260,0
566500,0,0
436500,6480,1
476500,6420,0
386500,7320,0
376500,9060,0
176500,2880,0
256500,4920,0
116500,3180,0
486500,3300,0
396500,3840,0
506500,20760,0
666500,11100,1
726500,11100,1
236500,4200,0
286500,3000,0
216500,4680,0
266500,4200,0
186500,3000,0
66500,1200,0
146500,1920,0
706500,7740,1
86500,3000,0
346500,6720,0
186500,5820,0
156500,3060,0
336500,3540,0
156500,6480,0
466500,5160,0
116500,4260,0
76500,2580,0
266500,9600,0
126500,1800,0
646500,7680,1
196500,3360,0
616500,8040,1
146500,2580,0
56500,3300,0
176500,4860,0
506500,9480,1
156500,1860,0
486500,5400,0
96500,3960,0
256500,6120,0
296500,5820,0
106500,2280,0
336500,11040,0
136500,9780,0
216500,4320,0
146500,1740,0
76500,3780,0
436500,6540,0
426500,6900,0
356500,7380,0
466500,6660,0
116500,3600,0
246500,5520,0
486500,4740,0
236500,4140,0
636500,11460,1
46500,1680,0
146500,10500,0
1196500,25680,1
156500,3300,0
486500,10440,1
276500,7740,0
136500,9420,0
456500,16020,0
236500,4500,0
196500,4980,0
396500,4500,0
416500,9480,0
116500,8160,0
226500,7440,0
176500,2640,0
266500,5580,0
296500,5220,0
176500,4860,0
216500,9360,0
356500,4140,0
226500,13260,0
306500,8940,0
456500,14460,0
136500,8280,0
396500,18900,0
306500,3960,0
156500,2340,0
606500,27000,1
76500,2280,0
336500,6120,0
386500,12060,0
206500,7560,0
336500,3240,0
126500,2460,0
486500,9180,0
406500,6720,0
206500,5160,0
116500,1260,0
206500,2280,0
106500,4440,0
356500,3180,0
446500,9540,0
276500,4380,0
306500,4080,0
76500,2280,0
206500,5640,0
336500,9900,0
136500,2100,0
76500,4560,0
416500,8400,0
346500,3720,0
126500,1800,0
126500,1680,0
176500,3840,0
206500,3000,0
186500,3840,0
296500,7080,0
156500,2760,0
376500,5280,0
526500,6360,0
306500,4440,0
276500,13380,0
686500,7080,1
496500,7020,0
476500,6060,0
566500,12240,0
286500,8580,0
226500,5520,0
356500,12660,0
466500,4740,0
466500,5400,0
186500,5220,0
256500,12300,0
216500,2940,0
296500,30720,0
86500,2520,0
446500,10920,0
136500,6180,0
146500,2880,0
396500,5700,0
236500,4380,0
166500,4860,0
616500,11160,0
366500,5700,0
66500,2220,0
236500,5880,0
586500,6180,0
306500,3480,1
486500,6720,1
296500,3840,0
356500,3780,0
396500,4380,0
606500,8700,1
366500,6240,0
396500,9240,0
206500,4680,0
196500,5280,0
146500,3900,0
456500,4860,0
536500,6720,0
176500,4860,0
76500,7860,0
126500,8460,0
366500,9180,0
496500,8400,1
336500,3300,0
206500,2640,0
616500,10320,1
326500,0,0
576500,6660,1
566500,8820,1
256500,19920,0
336500,5400,0
216500,6120,0
126500,4680,0
436500,10680,0
556500,5940,1
236500,12960,0
226500,4560,0
336500,9060,0
176500,3600,0
196500,3600,0
556500,5940,0
306500,6000,0
356500,5640,0
196500,4740,0
296500,4740,0
396500,5280,1
326500,9840,0
536500,9540,0
246500,5460,0
216500,3420,0
586500,7800,0
276500,3060,0
496500,6060,0
246500,6300,0
306500,7980,0
206500,4860,0
276500,8160,0
316500,8340,0
216500,4500,0
256500,7920,0
186500,4560,0
456500,7500,1
296500,6420,0
496500,6120,0
246500,4200,0
286500,4740,0
606500,3540,1
146500,1560,0
206500,4320,0
146500,3180,0
316500,4140,0
336500,7920,0
346500,4920,0
296500,11040,0
286500,12240,0
86500,2940,0
206500,5520,0
226500,4680,0
306500,3660,0
376500,12780,0
516500,8400,0
126500,2400,0
266500,4320,0
266500,9180,0
246500,2340,0
386500,14760,0
146500,4680,0
106500,1440,0
356500,4260,0
356500,8160,0
386500,4680,0
496500,9780,0
206500,9780,0
176500,2820,0
156500,4260,0
456500,8760,0
576500,14160,1
416500,4380,0
366500,5940,0
126500,1860,0
416500,8580,1
286500,0,0
146500,3300,0
116500,2340,0
116500,2820,0
396500,8880,0
276500,2940,0
136500,2940,0
446500,5040,0
146500,4140,0
316500,4620,0
316500,10920,0
326500,4260,0
476500,10020,0
486500,6720,1
186500,7380,0
576500,16560,0
156500,4860,0
186500,3000,0
76500,1260,0
226500,2160,0
356500,660,0
336500,5760,0
346500,9900,0
406500,6000,0
376500,3600,0
526500,8400,0
636500,6120,1
46500,4200,0
246500,2580,0
66500,3000,0
166500,6960,0
226500,1860,0
416500,5700,0
216500,3780,0
446500,6480,0
236500,4320,0
136500,0,0
376500,4680,0
576500,25080,0
656500,14700,1
236500,6180,0
126500,7440,0
226500,5220,0
656500,1920,1
136500,6660,0
596500,7980,1
236500,8400,0
106500,1860,0
346500,5460,0
466500,10260,0
286500,12660,0
406500,7680,0
126500,11820,0
186500,5520,0
416500,7140,0
646500,11640,0
416500,7980,0
326500,8340,0
266500,3120,0
316500,5700,0
86500,2040,0
216500,5400,0
256500,3840,0
226500,2280,0
286500,4320,0
136500,5400,0
186500,2040,0
106500,2340,0
96500,2760,0
496500,6840,0
486500,8940,0
536500,7560,0
306500,5400,0
236500,3960,0
206500,1920,0
466500,10020,0
226500,4260,0
76500,3480,0
276500,5520,0
286500,8460,0
536500,9960,0
186500,6480,0
176500,4560,0
406500,4260,0
616500,13560,1
546500,18900,1
376500,5640,0
596500,33240,1
456500,7980,1
306500,10080,0
326500,4380,0
226500,3240,0
96500,1200,0
356500,8160,0
406500,18060,0
266500,3780,0
466500,7920,0
206500,9780,0
106500,1800,0
586500,6840,1
246500,7620,0
436500,4860,0
276500,4980,0
486500,6060,0
206500,2460,0
576500,7380,0
126500,4320,0
136500,1320,0
106500,11400,0
186500,3240,0
376500,4080,0
506500,11820,0
316500,12660,0
166500,5520,0
436500,5520,1
256500,2520,0
436500,20880,0
196500,4680,0
526500,8340,1
126500,2760,0
226500,3240,0
176500,2880,0
386500,12540,0
316500,4500,0
536500,26400,0
606500,10380,0
756500,12180,1
266500,2340,0
726500,12120,1
306500,4920,0
276500,5460,0
186500,6960,0
416500,6420,0
456500,6120,0
406500,7620,0
486500,8700,0
256500,5700,0
396500,18480,0
206500,5400,0
356500,5400,0
246500,6840,0
326500,7560,0
546500,7560,1
366500,5460,0
236500,0,0
226500,3480,0
796500,10800,1
276500,3360,0
506500,6240,0
516500,7500,1
556500,8700,1
386500,17700,0
266500,5880,0
246500,24300,0
486500,9840,0
486500,6660,0
536500,6840,0
556500,7380,0
426500,6780,0
136500,7140,0
266500,9720,0
186500,3000,0
666500,12540,1
496500,5520,0
246500,2940,0
286500,8100,0
356500,5280,0
706500,21960,1
286500,5160,0
376500,5340,1
246500,2940,0
236500,5100,0
106500,11940,0
256500,7980,0
386500,5760,0
386500,6420,0
486500,6780,1
306500,2760,0
286500,7020,0
276500,4440,0
196500,8160,0
396500,6600,0
226500,6360,0
136500,3180,0
726500,14220,1
386500,6180,0
476500,11940,0
156500,8820,0
446500,8160,0
356500,4680,0
456500,16620,0
76500,3360,0
366500,8700,0
526500,6360,0
216500,3840,0
386500,4800,0
696500,22200,1
136500,2760,0
656500,14100,1
206500,17760,0
426500,4980,0
256500,3840,0
406500,3900,0
136500,3720,0
476500,10320,1
326500,12480,0
236500,4080,0
186500,6780,0
536500,17520,1
486500,7140,0
296500,6240,0
196500,1620,0
126500,6900,0
216500,3060,0
616500,6060,1
86500,1620,0
306500,3480,0
246500,7200,0
556500,9000,0
106500,3360,0
206500,8940,0
356500,13740,0
536500,9000,1
266500,4980,0
566500,14040,0
196500,4980,0
76500,1080,0
166500,5160,0
166500,3480,0
306500,17520,0
156500,2580,0
156500,6060,0
856500,20760,1
476500,6960,0
296500,4080,0
356500,5160,0
186500,7380,0
316500,9780,0
246500,9060,0
166500,6120,0
326500,5880,0
76500,1080,0
266500,3060,0
456500,9120,0
686500,6840,1
216500,10080,0
286500,7320,0
226500,7320,0
666500,8340,1
396500,4920,0
316500,5760,0
56500,840,0
266500,3360,0
566500,9420,0
576500,9000,1
366500,6180,0
346500,7260,0
316500,4020,0
336500,6720,0
96500,2700,0
216500,6000,0
186500,2820,0
386500,13920,0
126500,2640,0
606500,11640,1
606500,9000,1
166500,3180,0
166500,5280,0
176500,2460,0
226500,2520,0
196500,8220,0
246500,0,0
186500,2100,0
266500,5880,0
246500,7800,0
186500,2100,0
336500,5700,0
216500,4860,0
116500,7200,0
336500,6360,0
616500,13500,1
726500,10620,1
176500,2220,0
206500,4980,0
206500,6360,0
216500,4380,0
216500,3780,0
766500,12780,1
596500,8700,1
206500,11520,0
486500,4800,0
306500,2640,0
486500,7800,0
376500,5160,0
346500,4320,0
316500,6780,0
556500,9420,1
426500,7440,0
126500,6840,0
266500,6060,0
376500,8460,0
386500,3840,0
136500,4320,0
566500,5580,0
376500,8640,0
316500,9840,0
126500,4500,0
486500,6480,0
166500,3600,0
486500,12900,0
276500,5520,0
336500,3420,0
936500,14760,1
206500,4200,0
416500,10800,0
406500,10140,0
466500,4560,0
186500,2400,0
166500,3960,0
356500,4140,0
996500,19380,1
546500,7320,0
176500,2400,0
406500,9780,0
556500,6660,0
486500,19800,0
176500,2040,0
226500,5100,0
426500,11220,0
186500,2580,0
126500,3300,0
256500,9000,0
316500,4260,0
286500,3660,0
406500,7260,0
296500,6720,0
536500,6900,1
136500,3360,0
156500,3360,0
96500,2100,0
476500,10980,0
316500,9840,0
306500,5280,0
576500,9000,1
266500,3600,0
336500,7620,0
236500,3360,0
196500,5220,0
726500,11220,1
126500,1980,0
396500,4920,0
156500,1320,0
476500,13380,0
426500,5760,0
216500,3180,0
476500,6120,0
196500,4020,0
356500,9780,0
316500,6300,0
156500,2940,0
186500,4860,0
156500,2460,0
726500,10260,1
116500,6060,0
206500,5580,0
136500,5580,0
1456500,16740,1
696500,9180,1
256500,3420,0
306500,3420,0
306500,4680,0
216500,3120,0
206500,8520,0
216500,3780,0
76500,4200,0
206500,4140,0
196500,4320,0
206500,6180,0
386500,13560,0
156500,3540,0
216500,2700,0
186500,6120,0
496500,7740,0
206500,3660,0
366500,8280,0
226500,6660,0
666500,8940,1
126500,3000,0
536500,5760,1
146500,5640,0
286500,19320,0
276500,3960,0
126500,2400,0
486500,4920,0
356500,5160,0
186500,3240,0
246500,4260,0
486500,4320,0
126500,14220,0
356500,8700,0
356500,4440,0
636500,6720,1
256500,6540,0
726500,3360,1
506500,7380,0
686500,7380,1
416500,8940,0
116500,1980,0
546500,9060,1
216500,3480,0
126500,3000,0
636500,19860,0
376500,3840,0
436500,7740,0
416500,8880,0
376500,4380,0
146500,6840,0
116500,2760,0
236500,28320,0
256500,8340,0
566500,8400,1
206500,3120,0
346500,9600,0
306500,8760,0
296500,3900,0
146500,2400,0
616500,11160,1
206500,2880,0
286500,6240,0
166500,2040,0
386500,0,0
486500,8760,1
46500,6360,0
306500,3900,0
366500,6060,0
96500,1380,0
276500,4860,0
786500,15420,1
296500,4800,0
136500,5340,0
176500,2580,0
606500,16740,0
346500,4320,0
166500,6000,0
296500,4140,0
376500,12360,0
296500,5760,0
176500,2640,0
456500,11340,0
166500,1740,0
416500,9600,0
256500,4740,0
296500,7620,0
686500,12900,1
506500,7800,0
426500,7380,0
716500,10080,1
226500,3480,0
256500,6000,0
206500,8040,0
1606500,21900,1
126500,2220,0
136500,2940,0
276500,7500,0
186500,6000,0
406500,6900,0
96500,5880,0
386500,10680,0
306500,3420,0
426500,5220,0
326500,5580,0
226500,5400,0
466500,6600,0
196500,4260,0
136500,4620,0
266500,4380,0
106500,15660,0
656500,10140,0
306500,5700,0
206500,3840,0
196500,5820,0
766500,9240,0
216500,12000,0
456500,2580,0
406500,4380,0
386500,4680,0
396500,7260,0
146500,2280,0
666500,7800,1
526500,10260,0
366500,11820,0
216500,2400,0
376500,4020,0
406500,3720,0
146500,3480,0
466500,14700,0
756500,7560,1
276500,8100,0
116500,1560,0
256500,4020,0
156500,1680,0
326500,4560,0
486500,12540,0
206500,9240,0
316500,6420,0
356500,5640,0
716500,11220,1
246500,3780,0
116500,7800,0
146500,9660,0
356500,6300,0
646500,7500,1
206500,6780,0
206500,4440,0
276500,2580,0
486500,4740,0
316500,9480,0
446500,6240,0
376500,6900,0
176500,2700,0
546500,13620,1
486500,7260,1
196500,5280,0
96500,1140,0
606500,15300,0
456500,5340,0
216500,5580,0
126500,3600,0
136500,2760,0
256500,4380,0
246500,3780,0
206500,2460,0
136500,2340,0
226500,7620,0
106500,2580,0
186500,2340,0
126500,2460,0
166500,1920,0
596500,6960,0
256500,7200,0
456500,6840,0
206500,4980,0
146500,6180,0
576500,6960,0
296500,3840,0
606500,8280,1
136500,4920,0
236500,4500,0
136500,3900,0
396500,4920,0
186500,2640,0
116500,1980,0
726500,15540,1
166500,4080,0
256500,7260,0
206500,3000,0
216500,7500,0
516500,6240,1
366500,17160,0
256500,1800,0
616500,8340,1
316500,6420,0
636500,12540,0
506500,7500,0
196500,33240,0
126500,5640,0
206500,2820,0
476500,8040,0
186500,2880,0
366500,6720,0
136500,4380,0
696500,9600,1
656500,8820,1
706500,5400,1
396500,9720,0
116500,1320,0
516500,7560,0
266500,4620,0
106500,2820,0
396500,7140,0
416500,5220,0
256500,3120,0
596500,11940,1
616500,7140,1
326500,8280,0
446500,7320,0
486500,7620,1
846500,31920,1
306500,6060,0
306500,4860,0
366500,6240,0
406500,13560,0
486500,6900,0
786500,8940,1
216500,6540,0
486500,6780,0
206500,2880,0
446500,4500,0
276500,4800,0
406500,6180,0
386500,10260,0
726500,12180,1
556500,9900,1
106500,2100,0
276500,5520,0
176500,7800,0
106500,3720,0
266500,2400,0
476500,12840,0
146500,3060,0
96500,1620,0
166500,5820,0
396500,1620,0
526500,6720,0
286500,7740,0
166500,1620,0
436500,2220,0
116500,3000,0
236500,3300,0
66500,1440,0
136500,4860,0
246500,5220,0
186500,1980,0
316500,6120,0
946500,9360,1
136500,1800,0
366500,11160,1
246500,6600,0
216500,9060,0
226500,5460,0
176500,3000,0
536500,11400,0
226500,2460,0
496500,5460,0
356500,8340,0
806500,30900,1
106500,3000,0
266500,6360,0
146500,5100,0
256500,2520,0
396500,4440,0
226500,3180,0
406500,11760,0
446500,10080,1
376500,7620,0
146500,4020,0
416500,9960,0
286500,8460,0
116500,3000,0
636500,8400,1
326500,5040,0
456500,10320,0
466500,8400,0
196500,5220,0
276500,3600,0
86500,2700,0
556500,9840,0
266500,5460,0
576500,5160,0
626500,10140,0
186500,2640,0
266500,4920,0
436500,11940,0
146500,3960,0
216500,4800,0
316500,6240,0
176500,4500,0
726500,12060,1
86500,2940,0
86500,1980,0
266500,6420,0
486500,8760,1
376500,3840,0
316500,4560,0
206500,2640,0
146500,2460,0
296500,7140,0
266500,2940,0
406500,4200,0
716500,14160,1
506500,4320,1
486500,6960,1
96500,2820,0
246500,12120,0
416500,5760,0
226500,5340,0
286500,4680,0
216500,6660,0
226500,6240,0
436500,13440,0
206500,6420,0
186500,4980,0
156500,5580,0
326500,9480,0
236500,5160,0
336500,12360,0
456500,5640,0
566500,6000,0
436500,5760,0
166500,8580,0
246500,5580,0
296500,6420,0
526500,5820,0
226500,4620,0
296500,4200,0
726500,12120,1
206500,6900,0
206500,2700,0
576500,15120,1
356500,4320,0
796500,19800,1
176500,4200,0
256500,2640,0
476500,12540,0
586500,6660,1
236500,3720,0
106500,7500,0
126500,16020,0
326500,6000,0
326500,5940,0
226500,5520,0
166500,2700,0
196500,3060,0
226500,0,0
66500,2220,0
596500,10080,1
166500,2460,0
216500,6120,0
166500,3000,0
356500,5100,0
326500,8880,0
166500,4740,0
456500,8520,0
216500,4680,0
276500,5400,0
206500,5580,0
206500,3960,0
666500,21720,1
826500,12600,1
256500,15720,0
886500,16200,1
596500,7800,1
206500,4020,0
536500,5340,0
316500,8160,0
416500,1800,0
206500,6480,0
266500,3240,0
536500,7200,1
446500,10800,0
356500,4800,0
146500,2220,0
386500,6720,0
196500,7620,0
356500,8820,0
166500,3120,0
726500,10500,1
256500,50520,0
266500,3480,0
386500,8580,0
266500,3720,0
286500,3900,0
96500,4320,0
306500,4500,0
326500,11880,0
96500,1800,0
446500,31020,1
536500,8520,0
646500,13740,1
376500,3780,0
406500,14220,0
246500,4800,0
396500,9600,0
466500,6900,0
416500,5940,0
116500,2040,0
216500,2220,0
496500,8700,0
406500,3780,0
296500,4980,0
316500,5580,0
246500,6480,0
216500,3720,0
166500,7620,0
486500,8460,0
166500,6120,0
446500,4440,0
366500,3960,0
136500,2520,0
296500,3300,0
116500,3000,0
526500,7140,0
176500,2760,0
396500,12660,0
326500,4440,0
236500,8340,0
286500,2400,0
456500,4680,1
236500,4200,0
626500,6720,1
376500,8700,0
196500,5580,0
216500,3000,0
436500,4800,0
416500,6120,0
286500,7920,0
166500,2580,0
346500,7320,0
236500,3780,0
216500,5460,0
446500,8760,0
966500,16680,1
326500,6660,0
556500,7200,0
336500,5400,0
446500,5460,0
146500,3900,0
266500,5400,0
156500,2640,0
56500,2580,0
176500,4860,0
476500,11040,0
376500,10140,0
356500,13440,0
256500,6480,0
636500,10980,1
166500,3420,0
366500,5460,0
236500,4140,0
216500,5280,0
156500,3840,0
436500,9780,0
286500,23700,0
66500,2820,0
336500,3840,0
726500,9900,1
76500,5820,0
236500,10440,0
156500,4500,0
256500,3360,0
726500,10200,1
106500,6600,0
316500,2520,0
56500,1320,0
136500,7200,0
486500,15600,0
656500,9060,1
656500,13260,1
406500,6360,0
456500,9420,0
136500,6600,0
286500,6060,0
236500,7080,0
156500,6720,0
236500,3900,0
56500,6000,0
556500,15240,1
286500,8340,0
256500,2880,0
306500,7020,0
156500,1860,0
566500,10980,0
446500,7680,0
676500,10620,0
176500,2160,0
636500,11880,0
216500,3060,0
716500,9000,1
136500,2280,0
326500,13380,0
236500,9180,0
216500,2040,0
116500,0,0
306500,6180,0
126500,6480,0
256500,16860,0
386500,5520,0
1706500,11880,1
296500,4980,0
226500,5940,0
356500,5400,0
426500,1860,0
106500,3240,0
486500,12420,0
276500,4080,0
466500,8160,0
276500,7620,0
456500,6960,0
146500,2400,0
386500,5760,0
236500,12660,0
256500,3960,0
486500,11700,0
456500,5640,0
416500,6180,0
106500,1140,0
266500,3120,0
516500,5880,1
306500,6600,0
336500,4200,0
166500,4140,0
176500,9000,0
216500,3300,0
376500,5520,0
